,node_connectivity,degree_assortativity_coefficient,density,is_bipartite,spectral_bipartivity,global_reaching_centrality,transitivity,average_clustering,is_strongly_connected,is_weakly_connected,is_attracting_component,is_semiconnected,edge_connectivity,is_directed_acyclic_graph,is_aperiodic,diameter,radius,is_distance_regular,is_strongly_regular,is_eulerian,number_of_isolates,overall_reciprocity,is_regular,negative_edge_cycle,s_metric,is_threshold_graph,is_tournament,is_arborescence,is_branching,is_triad,wiener_index,trophic_incoherence_parameter
2018-01-09,0.0,-0.430331482911934,0.1527777777777778,0.0,1.0,0.875,0.16666666666666666,0.24999999999999994,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,inf,0.3500966570444052
2018-01-10,0.0,-0.430331482911934,0.1527777777777778,0.0,1.0,0.875,0.16666666666666666,0.24999999999999994,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,inf,0.34891700827282146
2018-01-11,0.0,-0.430331482911934,0.1527777777777778,0.0,1.0,0.875,0.16666666666666666,0.24999999999999994,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,inf,0.3510737997331122
2018-01-12,0.0,-0.8911327886790096,0.125,0.0,1.0,0.32653061224489793,0.125,0.14583333333333331,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,inf,0.2702298823952086
2018-01-16,0.0,-0.39757328397294583,0.1,0.0,1.0,0.40740740740740744,0.125,0.11666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,inf,0.23870752076191426
2018-01-17,0.0,0.0,0.1111111111111111,0.0,1.0,0.34375,0.25,0.12962962962962962,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,inf,0.25308317761582283
2018-01-18,0.0,0.09999999999999987,0.125,0.0,1.0,0.578125,0.25,0.12962962962962962,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,inf,1.144667617939079
2018-01-19,0.0,-0.18731716231633883,0.1388888888888889,0.0,1.0,0.5625,0.125,0.12962962962962962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,inf,1.6286359012426384
2018-01-22,0.0,-0.18731716231633883,0.1388888888888889,0.0,1.0,0.5625,0.125,0.12962962962962962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,inf,1.6374188861939778
2018-01-23,0.0,,0.17857142857142858,0.0,1.0,0.44897959183673464,0.125,0.14583333333333331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,inf,8729858249513161.0
2018-01-24,0.0,,0.17857142857142858,0.0,1.0,0.44897959183673464,0.125,0.14583333333333331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,inf,8417413933934336.0
2018-01-25,0.0,,0.17857142857142858,0.0,1.0,0.44897959183673464,0.125,0.14583333333333331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,inf,4083200623157668.5
2018-01-26,0.0,,0.17857142857142858,0.0,1.0,0.44897959183673464,0.125,0.14583333333333331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2018-01-29,0.0,,0.17857142857142858,0.0,1.0,0.44897959183673464,0.125,0.14583333333333331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2018-01-30,0.0,,0.17857142857142858,0.0,0.6065593994976727,0.18367346938775508,0.125,0.3173076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,inf,3.617537754931729
2018-01-31,0.0,-0.4999999999999988,0.16071428571428573,0.0,1.0,0.32653061224489793,0.125,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,inf,1.4613742739813775
2018-02-01,0.0,-0.5773502691896258,0.1388888888888889,0.0,1.0,0.4375,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,inf,1.6950705456739545
2018-02-02,0.0,-0.5547001962252284,0.13333333333333333,0.0,0.6274858282432741,0.2469135802469136,0.08333333333333333,0.18717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,inf,1.7153757825994487
2018-02-05,0.0,-0.656532164298614,0.16666666666666666,0.0,0.4478773288863975,0.578125,0.0,0.07098765432098765,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,inf,1.809003025391486
2018-02-06,0.0,,0.19642857142857142,0.0,0.4479773514901208,0.44897959183673464,0.1,0.20694444444444443,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,inf,1.7310501882321117
2018-02-07,0.0,0.4082482904638602,0.21428571428571427,0.0,0.45409736718442156,0.44897959183673464,0.14285714285714285,0.21319444444444444,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,inf,1.9249420962352768
2018-02-08,0.0,-0.09128709291752282,0.23214285714285715,0.0,0.4557794354163758,0.44897959183673464,0.25,0.25069444444444444,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,inf,1.833266141247787
2018-02-09,0.0,,0.2222222222222222,0.0,0.5764922769381406,0.359375,0.125,0.2174897119341564,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2018-02-12,0.0,,0.2,0.0,0.6393575797859002,0.48148148148148157,0.16666666666666666,0.28407407407407403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,inf,2.5035543154625852
2018-02-13,0.0,,0.18888888888888888,0.0,0.4854779062486447,0.5308641975308643,0.1875,0.27166666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,inf,1.4006353682724924
2018-02-14,0.0,,0.17777777777777778,0.0,0.9999999999999999,0.6172839506172839,0.25,0.2702380952380953,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,inf,0.9075266199140378
2018-02-15,0.0,,0.17777777777777778,0.0,1.0000000000000002,0.6172839506172839,0.25,0.2702380952380953,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,inf,0.9141315640407283
2018-02-16,0.0,,0.20833333333333334,0.0,0.6140278302874631,0.40625,0.16666666666666666,0.17500000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,inf,4738678091388419.0
2018-02-20,0.0,-0.30261376633440124,0.2222222222222222,0.0,0.613261105037217,0.40625,0.19444444444444445,0.21666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
